episode,reward,episode_length,completed_task,success,started_task,started_on_time,cumulative_success_rate,rolling_success_rate,cumulative_start_rate,rolling_start_rate
334,22.0,17,1,1,1,1,0.9670658682634731,0.9670658682634731,1.0,1.0
335,22.0,22,1,1,1,1,0.9671641791044776,0.9671641791044776,1.0,1.0
336,22.0,43,1,1,1,1,0.9672619047619048,0.9672619047619048,1.0,1.0
337,22.0,15,1,1,1,1,0.9673590504451038,0.9673590504451038,1.0,1.0
338,22.0,24,1,1,1,1,0.9674556213017751,0.9674556213017751,1.0,1.0
339,22.0,16,1,1,1,1,0.967551622418879,0.967551622418879,1.0,1.0
340,22.0,35,1,1,1,1,0.9676470588235294,0.9676470588235294,1.0,1.0
341,22.0,17,1,1,1,1,0.967741935483871,0.967741935483871,1.0,1.0
342,22.0,19,1,1,1,1,0.9678362573099415,0.9678362573099415,1.0,1.0
343,22.0,19,1,1,1,1,0.967930029154519,0.967930029154519,1.0,1.0
344,22.0,25,1,1,1,1,0.9680232558139535,0.9680232558139535,1.0,1.0
345,22.0,52,1,1,1,1,0.9681159420289855,0.9681159420289855,1.0,1.0
346,22.0,51,1,1,1,1,0.9682080924855492,0.9682080924855492,1.0,1.0
